time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,0.0,0.0,1.8,2.34,0.0
20200101:0111,0.0,0.0,0.0,0.0,0.0,1.48,2.41,0.0
20200101:0211,0.0,0.0,0.0,0.0,0.0,1.04,2.34,0.0
20200101:0311,0.0,0.0,0.0,0.0,0.0,0.64,2.21,0.0
20200101:0411,0.0,0.0,0.0,0.0,0.0,0.21,2.14,0.0
20200101:0511,0.0,0.0,0.0,0.0,0.0,-0.06,2.21,0.0
20200101:0611,0.0,0.0,0.0,0.0,0.0,-0.27,2.21,0.0
20200101:0711,0.0,0.0,0.0,0.0,0.0,-0.22,2.14,0.0
20200101:0811,80.73,6.0,30.45,0.0,5.04,-0.11,2.0,0.0
20200101:0911,332.14,31.0,77.0,0.0,10.15,0.8,1.86,0.0
20200101:1011,507.02,47.0,105.0,0.0,13.39,2.45,2.21,0.0
20200101:1111,360.04,7.0,101.0,0.0,14.47,3.04,2.41,0.0
20200101:1211,521.64,56.0,102.0,0.0,13.31,3.65,2.83,0.0
20200101:1311,318.24,32.0,74.0,0.0,9.99,3.72,2.97,0.0
20200101:1411,79.2,17.0,25.7,0.0,4.82,3.35,2.34,0.0
20200101:1511,0.0,0.0,0.0,0.0,0.0,2.57,2.41,0.0
20200101:1611,0.0,0.0,0.0,0.0,0.0,1.72,2.48,0.0
20200101:1711,0.0,0.0,0.0,0.0,0.0,1.12,2.48,0.0
20200101:1811,0.0,0.0,0.0,0.0,0.0,0.67,2.55,0.0
20200101:1911,0.0,0.0,0.0,0.0,0.0,0.16,2.62,0.0
20200101:2011,0.0,0.0,0.0,0.0,0.0,-0.38,2.69,0.0
20200101:2111,0.0,0.0,0.0,0.0,0.0,-0.82,2.55,0.0
20200101:2211,0.0,0.0,0.0,0.0,0.0,-1.43,2.21,0.0
20200101:2311,0.0,0.0,0.0,0.0,0.0,-2.28,1.72,0.0
20200102:0011,0.0,0.0,0.0,0.0,0.0,-2.02,1.45,0.0
20200102:0111,0.0,0.0,0.0,0.0,0.0,-2.6,1.59,0.0
20200102:0211,0.0,0.0,0.0,0.0,0.0,-3.03,1.66,0.0
20200102:0311,0.0,0.0,0.0,0.0,0.0,-3.66,1.93,0.0
20200102:0411,0.0,0.0,0.0,0.0,0.0,-3.73,2.14,0.0
20200102:0511,0.0,0.0,0.0,0.0,0.0,-3.63,2.21,0.0
20200102:0611,0.0,0.0,0.0,0.0,0.0,-3.55,2.14,0.0
20200102:0711,0.0,0.0,0.0,0.0,0.0,-3.45,2.21,0.0
20200102:0811,90.94,30.0,22.04,0.0,5.07,-3.12,2.21,0.0
20200102:0911,414.5,85.01,58.0,0.0,10.2,-1.03,2.0,0.0
20200102:1011,669.6,147.01,63.0,0.0,13.46,1.4,1.93,0.0
20200102:1111,747.32,157.01,71.0,0.0,14.56,2.88,2.07,0.0
20200102:1211,655.02,146.01,62.0,0.0,13.41,3.6,2.14,0.0
20200102:1311,407.02,100.01,48.0,0.0,10.11,3.59,2.28,0.0
20200102:1411,81.09,26.0,22.01,0.0,4.94,2.7,2.48,0.0
20200102:1511,0.0,0.0,0.0,0.0,0.0,1.19,2.76,0.0
20200102:1611,0.0,0.0,0.0,0.0,0.0,0.26,2.83,0.0
20200102:1711,0.0,0.0,0.0,0.0,0.0,-0.29,2.83,0.0
20200102:1811,0.0,0.0,0.0,0.0,0.0,-0.55,2.83,0.0
20200102:1911,0.0,0.0,0.0,0.0,0.0,-0.4,2.83,0.0
20200102:2011,0.0,0.0,0.0,0.0,0.0,-0.51,2.76,0.0
20200102:2111,0.0,0.0,0.0,0.0,0.0,-0.48,2.83,0.0
20200102:2211,0.0,0.0,0.0,0.0,0.0,-0.32,2.9,0.0
20200102:2311,0.0,0.0,0.0,0.0,0.0,0.21,2.97,0.0
20200103:0011,0.0,0.0,0.0,0.0,0.0,0.6,3.1,0.0
20200103:0111,0.0,0.0,0.0,0.0,0.0,1.17,3.38,0.0
20200103:0211,0.0,0.0,0.0,0.0,0.0,1.65,3.52,0.0
20200103:0311,0.0,0.0,0.0,0.0,0.0,2.1,3.59,0.0
20200103:0411,0.0,0.0,0.0,0.0,0.0,2.45,3.66,0.0
20200103:0511,0.0,0.0,0.0,0.0,0.0,2.35,3.66,0.0
20200103:0611,0.0,0.0,0.0,0.0,0.0,2.78,4.0,0.0
20200103:0711,0.0,0.0,0.0,0.0,0.0,3.11,4.34,0.0
20200103:0811,9.0,0.0,10.0,0.0,5.11,3.74,4.48,0.0
20200103:0911,39.33,0.0,21.0,0.0,10.26,4.3,4.48,0.0
20200103:1011,30.24,0.0,18.0,0.0,13.53,4.82,4.62,0.0
20200103:1111,243.36,1.0,77.0,0.0,14.65,5.28,4.69,0.0
20200103:1211,253.71,2.0,79.0,0.0,13.52,5.62,4.62,0.0
20200103:1311,112.54,0.0,43.0,0.0,10.23,5.9,4.55,0.0
