timestamp,power_output,direct_irradiance,diffuse_irradiance,sun_height,air_temperature,wind_speed_at_10m
2020-01-01T00:11:00.000-05:00,0.0,0.0,0.0,0.0,1.8,2.34
2020-01-01T01:11:00.000-05:00,0.0,0.0,0.0,0.0,1.48,2.41
2020-01-01T02:11:00.000-05:00,0.0,0.0,0.0,0.0,1.04,2.34
2020-01-01T03:11:00.000-05:00,0.0,0.0,0.0,0.0,0.64,2.21
2020-01-01T04:11:00.000-05:00,0.0,0.0,0.0,0.0,0.21,2.14
2020-01-01T05:11:00.000-05:00,0.0,0.0,0.0,0.0,-0.06,2.21
2020-01-01T06:11:00.000-05:00,0.0,0.0,0.0,0.0,-0.27,2.21
2020-01-01T07:11:00.000-05:00,0.0,0.0,0.0,0.0,-0.22,2.14
2020-01-01T08:11:00.000-05:00,80.73,6.0,30.45,5.04,-0.11,2.0
2020-01-01T09:11:00.000-05:00,332.14,31.0,77.0,10.15,0.8,1.86
2020-01-01T10:11:00.000-05:00,507.02,47.0,105.0,13.39,2.45,2.21
2020-01-01T11:11:00.000-05:00,360.04,7.0,101.0,14.47,3.04,2.41
2020-01-01T12:11:00.000-05:00,521.64,56.0,102.0,13.31,3.65,2.83
2020-01-01T13:11:00.000-05:00,318.24,32.0,74.0,9.99,3.72,2.97
2020-01-01T14:11:00.000-05:00,79.2,17.0,25.7,4.82,3.35,2.34
2020-01-01T15:11:00.000-05:00,0.0,0.0,0.0,0.0,2.57,2.41
2020-01-01T16:11:00.000-05:00,0.0,0.0,0.0,0.0,1.72,2.48
2020-01-01T17:11:00.000-05:00,0.0,0.0,0.0,0.0,1.12,2.48
2020-01-01T18:11:00.000-05:00,0.0,0.0,0.0,0.0,0.67,2.55
2020-01-01T19:11:00.000-05:00,0.0,0.0,0.0,0.0,0.16,2.62
2020-01-01T20:11:00.000-05:00,0.0,0.0,0.0,0.0,-0.38,2.69
2020-01-01T21:11:00.000-05:00,0.0,0.0,0.0,0.0,-0.82,2.55
2020-01-01T22:11:00.000-05:00,0.0,0.0,0.0,0.0,-1.43,2.21
2020-01-01T23:11:00.000-05:00,0.0,0.0,0.0,0.0,-2.28,1.72
2020-01-02T00:11:00.000-05:00,0.0,0.0,0.0,0.0,-2.02,1.45
2020-01-02T01:11:00.000-05:00,0.0,0.0,0.0,0.0,-2.6,1.59
2020-01-02T02:11:00.000-05:00,0.0,0.0,0.0,0.0,-3.03,1.66
2020-01-02T03:11:00.000-05:00,0.0,0.0,0.0,0.0,-3.66,1.93
2020-01-02T04:11:00.000-05:00,0.0,0.0,0.0,0.0,-3.73,2.14
2020-01-02T05:11:00.000-05:00,0.0,0.0,0.0,0.0,-3.63,2.21
2020-01-02T06:11:00.000-05:00,0.0,0.0,0.0,0.0,-3.55,2.14
2020-01-02T07:11:00.000-05:00,0.0,0.0,0.0,0.0,-3.45,2.21
2020-01-02T08:11:00.000-05:00,90.94,30.0,22.04,5.07,-3.12,2.21
2020-01-02T09:11:00.000-05:00,414.5,85.01,58.0,10.2,-1.03,2.0
2020-01-02T10:11:00.000-05:00,669.6,147.01,63.0,13.46,1.4,1.93
2020-01-02T11:11:00.000-05:00,747.32,157.01,71.0,14.56,2.88,2.07
2020-01-02T12:11:00.000-05:00,655.02,146.01,62.0,13.41,3.6,2.14
2020-01-02T13:11:00.000-05:00,407.02,100.01,48.0,10.11,3.59,2.28
2020-01-02T14:11:00.000-05:00,81.09,26.0,22.01,4.94,2.7,2.48
2020-01-02T15:11:00.000-05:00,0.0,0.0,0.0,0.0,1.19,2.76
2020-01-02T16:11:00.000-05:00,0.0,0.0,0.0,0.0,0.26,2.83
2020-01-02T17:11:00.000-05:00,0.0,0.0,0.0,0.0,-0.29,2.83
